2020-03-24 15:55:02 | 1585036502.7301 | ERROR | ErrorNO: 9999
2020-03-24 15:55:02 | 1585036502.7321 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:55:02 | 1585036502.7344 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:55:02 | 1585036502.7361 | ERROR | Line: 521
2020-03-24 15:55:02 | 1585036502.7377 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:55:02 | 1585036502.7395 | ERROR | ================================================================================
2020-03-24 15:55:21 | 1585036521.1694 | ERROR | ErrorNO: 9999
2020-03-24 15:55:21 | 1585036521.1721 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:55:21 | 1585036521.1737 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:55:21 | 1585036521.1754 | ERROR | Line: 521
2020-03-24 15:55:21 | 1585036521.1772 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:55:21 | 1585036521.1790 | ERROR | ================================================================================
2020-03-24 15:55:29 | 1585036529.7062 | ERROR | ErrorNO: 9999
2020-03-24 15:55:29 | 1585036529.7091 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:55:29 | 1585036529.7109 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:55:29 | 1585036529.7129 | ERROR | Line: 521
2020-03-24 15:55:29 | 1585036529.7148 | ERROR | SQL: SELECT * FROM `sl_user` LIMIT 1
2020-03-24 15:55:29 | 1585036529.7168 | ERROR | ================================================================================
2020-03-24 15:56:01 | 1585036561.3088 | ERROR | ErrorNO: 9999
2020-03-24 15:56:01 | 1585036561.3117 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:56:01 | 1585036561.3135 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:56:01 | 1585036561.3156 | ERROR | Line: 521
2020-03-24 15:56:01 | 1585036561.3255 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:56:01 | 1585036561.3276 | ERROR | ================================================================================
2020-03-24 15:56:05 | 1585036565.4649 | ERROR | ErrorNO: 9999
2020-03-24 15:56:05 | 1585036565.4673 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:56:05 | 1585036565.4699 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:56:05 | 1585036565.4719 | ERROR | Line: 521
2020-03-24 15:56:05 | 1585036565.4740 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:56:05 | 1585036565.4761 | ERROR | ================================================================================
2020-03-24 15:57:03 | 1585036623.5731 | ERROR | ErrorNO: 9999
2020-03-24 15:57:03 | 1585036623.5769 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:57:03 | 1585036623.5789 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:57:03 | 1585036623.5808 | ERROR | Line: 521
2020-03-24 15:57:03 | 1585036623.5829 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:57:03 | 1585036623.5848 | ERROR | ================================================================================
2020-03-24 15:57:07 | 1585036627.6919 | ERROR | ErrorNO: 9999
2020-03-24 15:57:07 | 1585036627.6940 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:57:07 | 1585036627.6969 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:57:07 | 1585036627.6990 | ERROR | Line: 521
2020-03-24 15:57:07 | 1585036627.7008 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:57:07 | 1585036627.7028 | ERROR | ================================================================================
2020-03-24 15:57:41 | 1585036661.5595 | ERROR | ErrorNO: 9999
2020-03-24 15:57:41 | 1585036661.5638 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:57:41 | 1585036661.5658 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:57:41 | 1585036661.5678 | ERROR | Line: 521
2020-03-24 15:57:41 | 1585036661.5697 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:57:41 | 1585036661.5714 | ERROR | ================================================================================
2020-03-24 15:57:47 | 1585036667.3603 | ERROR | ErrorNO: 9999
2020-03-24 15:57:47 | 1585036667.3626 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:57:47 | 1585036667.3655 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:57:47 | 1585036667.3673 | ERROR | Line: 521
2020-03-24 15:57:47 | 1585036667.3694 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:57:47 | 1585036667.3712 | ERROR | ================================================================================
2020-03-24 15:59:25 | 1585036765.5761 | ERROR | ErrorNO: 9999
2020-03-24 15:59:25 | 1585036765.5804 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:59:25 | 1585036765.5824 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:59:25 | 1585036765.5842 | ERROR | Line: 521
2020-03-24 15:59:25 | 1585036765.5862 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 15:59:25 | 1585036765.5882 | ERROR | ================================================================================
